Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
TOI-1203 b,4.1573 ± 0.0,0.0487 ± 0.0009,0.011 ± 0.001,--,3.51 +0.33 -0.32,--,1.52 +0.045 -0.046,Radial Velocity,<a refstr=GANDOLFI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250910136G/abstract target=ref>Gandolfi et al. 2025</a>
TOI-1203.01,25.5027 ± 0.0,0.1632 +0.0031 -0.0032,0.0233 ± 0.002,--,7.39 ± 0.62,--,2.918 +0.046 -0.045,Transit,<a refstr=GANDOLFI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250910136G/abstract target=ref>Gandolfi et al. 2025</a>
TOI-1203 e,204.59 +0.67 -0.63,--,0.1325 +0.0058 -0.0056,0.1325 +0.0058 -0.0056,42.1 +1.83 -1.78,42.1 +1.83 -1.78,7.31,Radial Velocity,<a refstr=GANDOLFI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250910136G/abstract target=ref>Gandolfi et al. 2025</a>
TOI-561 b,0.4466 ± 0.0,0.0106 ± 0.0002,0.0064 ± 0.0007,--,2.02 ± 0.23,--,1.397 ± 0.027,Transit,<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>
TOI-561 e,77.144 ± 0.0003,0.33 ± 0.005,0.039 ± 0.0044,--,12.4 ± 1.4,--,2.517 ± 0.045,Transit,<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>
TOI-561 d,25.7127 ± 0.0001,0.1587 ± 0.0024,0.0419 ± 0.0031,--,13.33 ± 0.98,--,2.615 ± 0.059,Transit,<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>
TOI-561 c,10.7788 ± 0.0,0.0889 ± 0.0013,0.0187 ± 0.0021,--,5.93 ± 0.67,--,2.865 ± 0.041,Transit,<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>
HD 224018 c,36.5767 ± 0.0002,0.217 ± 0.005,0.0327 +0.0041 -0.0035,--,10.4 +1.3 -1.1,--,2.42 +0.07 -0.08,Transit,<a refstr=DAMASSO_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A.118D/abstract target=ref>Damasso et al. 2025</a>
HD 224018 b,10.6413 ± 0.0028,0.0952 ± 0.002,0.0129 ± 0.0025,--,4.1 ± 0.8,--,0.91 +0.64 -0.57,Radial Velocity,<a refstr=DAMASSO_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A.118D/abstract target=ref>Damasso et al. 2025</a>
HD 224018 d,138.0731 +27.6127 -0.005,0.53 +0.06 -0.02,0.0132 +0.0057 -0.005,--,4.2 +1.8 -1.6,--,2.4 ± 0.1,Transit,<a refstr=DAMASSO_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A.118D/abstract target=ref>Damasso et al. 2025</a>
