Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
TOI-2267 b,2.2891 ± 0.0,0.0205 ± 0.0025,0.0031,--,0.972,--,1.0 ± 0.11,Transit,<a refstr=ZUNIGA_FERNANDEZ_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A..85Z/abstract target=ref>Z&uacute;&ntilde;iga-Fern&aacute;ndez et al. 2025</a>
TOI-2267 d,2.0345 ± 0.0,0.0145 +0.0006 -0.0007,0.0119,--,3.78,--,1.77 ± 0.43,Transit,<a refstr=GREKLEK_MCKEON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026AJ....171...97G/abstract target=ref>Greklek-McKeon et al. 2026</a>
LP 791-18 b,0.948 ± 0.0,0.0098 ± 0.0001,0.0061,--,1.94,--,1.212 +0.059 -0.058,Transit,<a refstr=PETERSON_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.617..701P/abstract target=ref>Peterson et al. 2023</a>
LP 791-18 d,2.7548 ± 0.0001,0.0199 ± 0.0002,0.0029 ± 0.0006,--,0.91 ± 0.19,--,1.032 +0.044 -0.043,Transit,<a refstr=GREKLEK_MCKEON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170...65G/abstract target=ref>Greklek-McKeon et al. 2025</a>
LP 791-18 c,4.9899 ± 0.0,0.0296 +0.0003 -0.0004,0.0225 ± 0.002,--,7.16 ± 0.65,--,2.488 ± 0.096,Transit,<a refstr=GREKLEK_MCKEON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170...65G/abstract target=ref>Greklek-McKeon et al. 2025</a>
GJ 3138 b,1.22 +0.0001 -0.0,0.0197 ± 0.0005,0.0056 +0.0011 -0.001,0.0056 +0.0011 -0.001,1.78 +0.34 -0.33,1.78 +0.34 -0.33,1.18,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 3138 c,5.974 ± 0.001,0.057 ± 0.001,0.0132 ± 0.0019,0.0132 ± 0.0019,4.18 +0.61 -0.59,4.18 +0.61 -0.59,1.88,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 3138 d,257.8 +3.6 -3.5,0.698 +0.018 -0.019,0.033 +0.0072 -0.0066,0.033 +0.0072 -0.0066,10.5 +2.3 -2.1,10.5 +2.3 -2.1,3.23,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
K2-239 b,5.24 ± 0.001,0.0441 ± 0.0008,0.0043,--,1.37,--,1.1 ± 0.1,Transit,<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.480L...1D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>
K2-239 c,7.775 ± 0.001,0.0576 ± 0.0009,0.0031,--,0.972,--,1.0 ± 0.1,Transit,<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.480L...1D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>
K2-239 d,10.115 ± 0.001,0.0685 ± 0.0012,0.0043,--,1.37,--,1.1 ± 0.1,Transit,<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.480L...1D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>
TOI-700 d,37.424 +0.0004 -0.0003,0.1633 ± 0.0027,0.0039,--,1.25,--,1.073 +0.059 -0.054,Transit,<a refstr=GILBERT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...944L..35G/abstract target=ref>Gilbert et al. 2023</a>
TOI-700 c,16.0511 ± 0.0,0.0929 ± 0.0015,0.0229,--,7.27,--,2.6 +0.14 -0.13,Transit,<a refstr=GILBERT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...944L..35G/abstract target=ref>Gilbert et al. 2023</a>
TOI-700 b,9.9772 ± 0.0,0.0677 ± 0.0011,0.0022,--,0.704,--,0.914 +0.053 -0.049,Transit,<a refstr=GILBERT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...944L..35G/abstract target=ref>Gilbert et al. 2023</a>
TOI-700 e,27.8098 +0.0005 -0.0004,0.134 ± 0.0022,0.0026,--,0.818,--,0.953 +0.089 -0.075,Transit,<a refstr=GILBERT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...944L..35G/abstract target=ref>Gilbert et al. 2023</a>
LHS 1903 d,12.5663 ± 0.0,0.086 +0.0018 -0.0019,0.0188 ± 0.0036,--,5.96 +1.15 -1.13,--,2.5 +0.078 -0.077,Transit,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026Sci...392l2348W/abstract target=ref>Wilson et al. 2026</a>
LHS 1903 e,29.3177 ± 0.0003,0.1514 +0.0031 -0.0034,0.0182 +0.005 -0.0051,--,5.79 +1.6 -1.61,--,1.732 +0.059 -0.058,Transit,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026Sci...392l2348W/abstract target=ref>Wilson et al. 2026</a>
LHS 1903 b,2.1555 ± 0.0,0.0266 ± 0.0006,0.0103 ± 0.0013,--,3.28 ± 0.42,--,1.382 ± 0.046,Transit,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026Sci...392l2348W/abstract target=ref>Wilson et al. 2026</a>
LHS 1903 c,6.2262 ± 0.0,0.0539 +0.0011 -0.0012,0.0143 +0.0023 -0.0022,--,4.55 +0.73 -0.69,--,2.046 +0.078 -0.074,Transit,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026Sci...392l2348W/abstract target=ref>Wilson et al. 2026</a>
TOI-1266 c,18.8027 +0.0013 -0.0012,0.105 ± 0.0017,0.01 ± 0.0024,--,3.17 ± 0.76,--,1.98 ± 0.1,Transit,<a refstr=GREKLEK_MCKEON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..292G/abstract target=ref>Greklek-McKeon et al. 2025</a>
TOI-1266 b,10.8945 +0.0002 -0.0003,0.073 ± 0.0011,0.014 ± 0.0022,--,4.46 ± 0.69,--,2.52 ± 0.08,Transit,<a refstr=GREKLEK_MCKEON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..292G/abstract target=ref>Greklek-McKeon et al. 2025</a>
TOI-1266 d,32.509 +0.062 -0.049,0.1513 ± 0.0024,0.0116 +0.0033 -0.0035,0.0144 ± 0.003,3.68 +1.05 -1.11,4.59 +0.96 -0.94,1.74,Transit Timing Variations,<a refstr=GREKLEK_MCKEON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..292G/abstract target=ref>Greklek-McKeon et al. 2025</a>
Kepler-42 c,0.4533 ± 0.0,0.006,0.1898,--,60.337,--,0.73 ± 0.2,Transit,<a refstr=MUIRHEAD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012arXiv1201.2189M/abstract target=ref> Muirhead et al. 2012 </a>
Kepler-42 d,1.8652 ± 0.0,0.0154,0.0011,--,0.3578,--,0.57 ± 0.18,Transit,<a refstr=MUIRHEAD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012arXiv1201.2189M/abstract target=ref> Muirhead et al. 2012 </a>
Kepler-42 b,1.2138 ± 0.0,0.0116,0.0022,--,0.7059,--,0.78 ± 0.22,Transit,<a refstr=MUIRHEAD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012arXiv1201.2189M/abstract target=ref> Muirhead et al. 2012 </a>
K2-3 d,44.556 ± 0.0001,0.2014 +0.0034 -0.0033,0.0069,--,2.2,--,1.458 +0.056 -0.051,Transit,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>
K2-3 b,10.0547 ± 0.0,0.0747 +0.0013 -0.0012,0.0161 ± 0.002,--,5.11 +0.65 -0.64,--,2.078 +0.076 -0.067,Transit,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>
K2-3 c,24.6467 ± 0.0,0.1357 +0.0023 -0.0022,0.0084 ± 0.0027,--,2.68 ± 0.85,--,1.582 +0.057 -0.051,Transit,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>
TOI-663 c,4.6956 ± 0.0,0.0437 ± 0.0016,0.0115 ± 0.0031,--,3.65 ± 0.97,--,2.26 ± 0.1,Transit,<a refstr=COINTEPAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A..19C/abstract target=ref>Cointepas et al. 2024</a>
