           Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                                   Ref_Estrella
          HD 163607                    2       67.78550             G5 5522.000000   1.760000  1.120000                                 <a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>
          HD 164922                    4       22.00160           G9 V 5393.430559   1.001813  0.921146                       <a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>
          HD 168443                    2       39.62450             G5 5491.000000   1.711479  0.980000                     <a refstr=PILYAVSKY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743..162P/abstract target=ref> Pilyavsky et al. 2011 </a>
          HD 183263                    2       54.19550          G2 IV 5948.000000   1.230000  1.060000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
          HD 187123                    2       45.95480           G3 V 5790.000000   1.150430  1.040000                                         <a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
          HD 189567                    2       17.90550           G3 V 5726.000000   1.040000  0.830000                               <a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>
          HD 190360                    2       16.00690              G 5552.000000   1.201000  0.991000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
          HD 191939                    6       53.60890           G9 V 5348.000000   0.940000  0.810000                               <a refstr=LUBIN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168..196L/abstract target=ref>Lubin et al. 2024</a>
          HD 196067                    2       39.93460           G0 V 6072.000000   1.710000  1.160000                            <a refstr=DELISLE_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...703A..78D/abstract target=ref>Delisle et al. 2025</a>
           HD 20003                    2       41.83160           G8 V 5494.000000   0.921637  0.875000                                 <a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>
          HD 200964                    2       72.59220          G8 IV 4982.000000   4.920000  1.390000                                 <a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>
          HD 204313                    3       47.79450           G5 V 5767.000000   1.100000  1.030000                                 <a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RAA....23e5022X/abstract target=ref>Xiao et al. 2023</a>
