      Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                                        Ref_Estrella
     HD 181433                    3       26.87620          K3 IV 4918.000000   0.790000  0.860000                                <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
     HD 184010                    3       60.79930      K0 III-IV 4971.000000   4.860000  1.350000                                       <a refstr=TENG_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022PASJ...74.1309T/abstract target=ref>Teng et al. 2022</a>
     HD 192310                    2        8.79687            K3V 5166.000000   0.857922  0.800000                                  <a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>
     HD 202696                    2      188.54600      K0 III-IV 5040.000000   6.430000  1.910000                              <a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...93T/abstract target=ref>Trifonov et al. 2019</a>
      HD 20781                    5       35.97150           K0 V 5256.000000   0.833609  0.700000                                      <a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>
     HD 215152                    4       21.59740           K3 V 4935.000000   0.730000  0.770000                                <a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>
     HD 215497                    2       40.54680           K3 V 5110.000000   0.850000  0.670000                                <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
     HD 216520                    2       19.55200             K2 5103.000000   0.760000  0.820000                                      <a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...10B/abstract target=ref>Burt et al. 2021</a>
     HD 219134                    6        6.53127           K3 V 4699.000000   0.778000  0.810000                                  <a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>
      HD 23472                    5       39.03410           K4 V 4684.000000   0.710000  0.670000                                   <a refstr=BARROS_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...665A.154B/abstract target=ref>Barros et al. 2022</a>
      HD 27894                    3       43.82140           K2 V 4875.000000   0.891767  0.800000                                <a refstr=MOUTOU_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...439..367M/abstract target=ref> Moutou et al. 2005 </a>
       HD 3167                    4       47.28990           K0 V 5261.000000   0.880000  0.837000                                   <a refstr=BONOMO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A..33B/abstract target=ref>Bonomo et al. 2023</a>
      HD 33142                    3      121.37500         K0 III 5025.400000   4.170000  1.520000                               <a refstr=TRIFONOV_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..156T/abstract target=ref>Trifonov et al. 2022</a>
      HD 33844                    2      105.77900         K0 III 4861.000000   5.390000  1.840000                                <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
      HD 37605                    2       46.78640             K0 5329.000000   0.910000  0.940000                                      <a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>
      HD 39194                    3       26.41310           K0 V 5205.000000   0.783742  0.860000                                    <a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>
      HD 40307                    5       12.93630         K2.5 V 4956.000000   0.716684  0.770000                                <a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>
    HD 41004 A                    2       36.69117        K1/K2 V 5310.000000   0.850000  0.950000                                  <a refstr=GHEZZI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...720.1290G/abstract target=ref>Ghezzi et al. 2010</a>
      HD 45364                    2       34.35400           K0 V 5466.000000   0.890000  0.820000                                          <a refstr=LI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..163L/abstract target=ref>Li et al. 2022</a>
       HD 4732                    2       54.78410          K0 IV 4898.000000   5.030000  1.390000                                       <a refstr=TENG_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023PASJ...75.1030T/abstract target=ref>Teng et al. 2023</a>
      HD 47366                    2       84.35520         K1 III 4866.000000   7.300000  1.810000                                      <a refstr=SATO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...819...59S/abstract target=ref>Sato et al. 2016</a>
      HD 48948                    3       16.90430           K3 V 4593.000000   0.679000  0.686000                                    <a refstr=DALAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.531.4464D/abstract target=ref>Dalal et al. 2024</a>
      HD 69830                    3       12.55910            K0V 5385.000000   0.886947  0.860000                                  <a refstr=LOVIS_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.441..305L/abstract target=ref> Lovis et al. 2006 </a>
      HD 73267                    2       50.40930           K0 V 5387.000000   0.909000  0.930000                                <a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>
      HD 73583                    2       31.56660           K4 V 4511.000000   0.650000  0.730000                        <a refstr=BARRAGAN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.1606B/abstract target=ref>Barrag&aacute;n et al. 2022</a>
       HD 7924                    3       16.99220         K0.5 V 5131.000000   0.780000  0.650000                                <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
      HD 83443                    2       40.89910           K0 V 5442.000000   0.940000  1.000000                                  <a refstr=ERRICO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..273E/abstract target=ref>Errico et al. 2022</a>
      HD 87816                    2      133.23300         K0 III 4989.000000   9.000000  2.410000                               <a refstr=FONTANET_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...699A..38F/abstract target=ref>Fontanet et al. 2025</a>
      HD 93083                    2       28.51590        K2 IV-V 5033.800000   0.837000  0.836000                                   <a refstr=STOEVA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...708A.232S/abstract target=ref>Stoeva et al. 2026</a>
      HD 94890                    2       61.70120         K0 III 4867.000000  10.710000  1.740000                               <a refstr=FONTANET_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...699A..38F/abstract target=ref>Fontanet et al. 2025</a>
      HD 95089                    2      136.95700       G8/K0 IV 4918.000000   5.080000  1.540000                                      <a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>
      HD 99492                    2       18.20380           K2 V 4929.000000   0.822539  0.850000                               <a refstr=STALPORT_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..90S/abstract target=ref>Stalport et al. 2023</a>
      HD 99706                    2      146.60000             K0 4862.000000   5.520000  1.460000                                      <a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>
    HIP 111909                    2       88.07700         K1 III 4891.000000   4.530000  1.280000                                 <a refstr=JENKINS_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...704A.283J/abstract target=ref>Jenkins et al. 2025</a>
     HIP 54373                    2       18.71680           K5 V 4021.000000   0.564998  0.570000                                      <a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>
     HIP 56998                    2       12.77810          K4/5V 4675.000000   0.630000  0.653000                              <a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>
     HIP 57274                    3       25.86180           K4 V 4510.000000   0.780000  0.290000                                <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
     HIP 65407                    2       61.78040             K0 5460.000000   0.952252  0.930000                  <a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>
     HIP 67851                    2       64.11810         K0 III 4840.000000   5.450000  1.280000                               <a refstr=FONTANET_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...699A..38F/abstract target=ref>Fontanet et al. 2025</a>
      HIP 8541                    2      155.12100      K2 III/IV 4672.000000   6.840000  2.009000                                 <a refstr=JENKINS_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...704A.283J/abstract target=ref>Jenkins et al. 2025</a>
     HIP 97166                    2       65.95010           K0 V 5216.000000   0.841800  0.934200                          <a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>
        K2-136                    3       59.24740           K5.5 4500.000000   0.677000  0.742000                                       <a refstr=MAYO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..235M/abstract target=ref>Mayo et al. 2023</a>
        K2-141                    2       61.87360           K7 V 4570.000000   0.681000  0.708000                                   <a refstr=BONOMO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A..33B/abstract target=ref>Bonomo et al. 2023</a>
        K2-155                    3       72.79980             K7 4258.000000   0.580000  0.650000          <a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.476L..50D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>
         K2-16                    3      334.96700           K3 V 4742.000000   0.660000  0.680000                              <a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>
        K2-233                    3       67.50620             K3 4796.000000   0.710000  0.790000            <a refstr=BARRAG_AMP_AACUTE_N_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.3458B/abstract target=ref>Barrag&aacute;n et al. 2023</a>
        K2-285                    4      154.96100           K2 V 4975.000000   0.787000  0.830000                                    <a refstr=PALLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A..41P/abstract target=ref>Palle et al. 2019</a>
         K2-35                    2      252.59600           K4 V 4402.713379   0.619575  0.701968                              <a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>
         K2-36                    2      109.74900           K2 V 4916.000000   0.718000  0.790000                                   <a refstr=BONOMO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A..33B/abstract target=ref>Bonomo et al. 2023</a>
        K2-395                    2      286.72700             K0 5007.000000   0.783000  0.952000                       <a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>
