Planeta,Zonas Estables,Zonas Inestables,Zonas Colisión m2,Área Estable (km²),Área Inestable (km²),Área Colisión m2 (km²)
GJ 876 e,275,9718,7,11000000000000.0,389000000000000.0,280000000000.0
GJ 887 b,113,9868,19,189000000000.0,16500000000000.0,31700000000.0
GJ 887 c,146,9837,17,765000000000.0,51600000000000.0,89100000000.0
GJ 887 d,142,9843,15,2290000000000.0,158000000000000.0,241000000000.0
GJ 887 e,87,9889,24,54200000000.0,6160000000000.0,14900000000.0
HD 260655 b,97,9885,18,29900000000.0,3040000000000.0,5540000000.0
HD 260655 c,109,9875,16,88000000000.0,7970000000000.0,12900000000.0
HD 95735 c,238,9752,10,737000000000000.0,3.02e+16,31000000000000.0
HIP 38594 b,148,9835,17,3470000000000.0,231000000000000.0,399000000000.0
HIP 38594 c,361,9631,8,1870000000000000.0,4.99e+16,41500000000000.0
K2-117 b,119,9864,17,15200000000.0,1260000000000.0,2170000000.0
K2-117 c,120,9864,16,104000000000.0,8550000000000.0,13900000000.0
K2-133 b,98,9883,19,35800000000.0,3610000000000.0,6940000000.0
K2-133 c,108,9875,17,72900000000.0,6660000000000.0,11500000000.0
K2-133 d,126,9858,16,253000000000.0,19800000000000.0,32100000000.0
K2-133 e,113,9868,19,733000000000.0,64000000000000.0,123000000000.0
K2-146 b,173,9813,14,38100000000.0,2160000000000.0,3080000000.0
K2-146 c,192,9795,13,73500000000.0,3750000000000.0,4980000000.0
K2-154 b,109,9877,14,64000000000.0,5800000000000.0,8220000000.0
K2-154 c,111,9874,15,182000000000.0,16200000000000.0,24600000000.0
K2-18 b,204,9790,6,1490000000000.0,71600000000000.0,43900000000.0
K2-18 c,185,9803,12,238000000000.0,12600000000000.0,15500000000.0
K2-21 b,102,9877,21,211000000000.0,20400000000000.0,43400000000.0
K2-21 c,125,9863,12,512000000000.0,40400000000000.0,49200000000.0
K2-239 b,89,9888,23,62000000000.0,6890000000000.0,16000000000.0
K2-239 c,82,9894,24,97400000000.0,11800000000000.0,28500000000.0
K2-239 d,89,9888,23,150000000000.0,16600000000000.0,38600000000.0
K2-240 b,114,9869,17,107000000000.0,9300000000000.0,16000000000.0
K2-240 c,108,9873,19,519000000000.0,47500000000000.0,91400000000.0
K2-264 b,136,9844,20,123000000000.0,8890000000000.0,18100000000.0
K2-264 c,159,9825,16,725000000000.0,44800000000000.0,72900000000.0
K2-3 b,120,9866,14,240000000000.0,19700000000000.0,28000000000.0
K2-3 c,97,9884,19,640000000000.0,65200000000000.0,125000000000.0
K2-3 d,91,9885,24,1320000000000.0,144000000000000.0,349000000000.0
KMT-2021-BLG-1077L b,831,9168,1,472000000000000.0,5210000000000000.0,568000000000.0
KMT-2021-BLG-1077L c,854,9145,1,264000000000000.0,2830000000000000.0,310000000000.0
Kepler-114 b,78,9896,26,78500000000.0,9950000000000.0,26200000000.0
Kepler-114 c,98,9886,16,147000000000.0,14900000000000.0,24100000000.0
Kepler-114 d,108,9877,15,270000000000.0,24700000000000.0,37500000000.0
