Planeta,Zonas Estables,Zonas Inestables,Zonas Colisión m2,Área Estable (km²),Área Inestable (km²),Área Colisión m2 (km²)
TOI-178 g,108,9873,19,629000000000.0,57500000000000.0,111000000000.0
TOI-2076 b,113,9868,19,312000000000.0,27200000000000.0,52500000000.0
TOI-2076 c,116,9868,16,822000000000.0,70000000000000.0,113000000000.0
TOI-2076 d,118,9867,15,1660000000000.0,139000000000000.0,211000000000.0
TOI-2076 e,101,9881,18,54000000000.0,5280000000000.0,9620000000.0
TOI-2093 b,152,9834,14,512000000000.0,33100000000000.0,47200000000.0
TOI-2093 c,186,9801,13,4400000000000.0,232000000000000.0,307000000000.0
TOI-2134 b,142,9841,17,309000000000.0,21400000000000.0,37000000000.0
TOI-2134 c,301,9696,3,14800000000000.0,478000000000000.0,148000000000.0
TOI-2202 b,726,9272,2,2380000000000.0,30400000000000.0,6550000000.0
TOI-2202 c,478,9516,6,4140000000000.0,82300000000000.0,51900000000.0
TOI-2322 b,89,9891,20,272000000000.0,30200000000000.0,61100000000.0
TOI-2322 c,206,9786,8,1370000000000.0,65000000000000.0,53100000000.0
TOI-2345 b,97,9885,18,10100000000.0,1030000000000.0,1870000000.0
TOI-2345 c,125,9863,12,707000000000.0,55800000000000.0,67900000000.0
TOI-238 b,92,9891,17,14800000000.0,1590000000000.0,2740000000.0
TOI-238 c,118,9867,15,237000000000.0,19800000000000.0,30100000000.0
TOI-2525 b,226,9761,13,1850000000000.0,79800000000000.0,106000000000.0
TOI-2525 c,625,9370,5,13900000000000.0,208000000000000.0,111000000000.0
TOI-286 b,101,9879,20,91500000000.0,8950000000000.0,18100000000.0
TOI-286 c,95,9887,18,1540000000000.0,161000000000000.0,292000000000.0
TOI-4010 b,142,9844,14,26700000000.0,1850000000000.0,2630000000.0
TOI-4010 c,196,9791,13,236000000000.0,11800000000000.0,15700000000.0
TOI-4010 d,269,9721,10,1230000000000.0,44400000000000.0,45700000000.0
TOI-4010 e,885,9115,0,781000000000000.0,8050000000000000.0,0.0
TOI-4311 b,101,9880,19,11900000000.0,1170000000000.0,2250000000.0
TOI-4311 c,169,9821,10,754000000000.0,43800000000000.0,44600000000.0
TOI-4504 b,118,9866,16,48600000000.0,4060000000000.0,6590000000.0
TOI-4504 c,974,9023,3,44400000000000.0,412000000000000.0,137000000000.0
TOI-4504 d,831,9168,1,14700000000000.0,162000000000000.0,17600000000.0
TOI-4600 b,941,9054,5,41000000000000.0,395000000000000.0,218000000000.0
TOI-4600 c,825,9172,3,392000000000000.0,4360000000000000.0,1430000000000.0
TOI-500 b,78,9897,25,3950000000.0,501000000000.0,1270000000.0
TOI-5789 b,82,9899,19,38200000000.0,4610000000000.0,8860000000.0
TOI-5789 c,102,9874,24,372000000000.0,36000000000000.0,87500000000.0
TOI-5789 d,99,9884,17,1090000000000.0,109000000000000.0,188000000000.0
TOI-5789 e,151,9834,15,4550000000000.0,296000000000000.0,452000000000.0
TOI-712 b,107,9872,21,241000000000.0,22200000000000.0,47300000000.0
TOI-712 c,131,9853,16,2810000000000.0,211000000000000.0,343000000000.0
TOI-712 d,120,9864,16,4980000000000.0,410000000000000.0,664000000000.0
TOI-815 b,124,9866,10,362000000000.0,28800000000000.0,29200000000.0
TOI-815 c,226,9762,12,3010000000000.0,130000000000000.0,160000000000.0
TOI-836 b,107,9873,20,68200000000.0,6300000000000.0,12800000000.0
TOI-836.01,151,9835,14,304000000000.0,19800000000000.0,28200000000.0
TOI-880 c,204,9790,6,295000000000.0,14100000000000.0,8660000000.0
TOI-880.02,103,9874,23,44900000000.0,4310000000000.0,10000000000.0
TOI-942 b,183,9799,18,155000000000.0,8310000000000.0,15300000000.0
TOI-942 c,274,9717,9,725000000000.0,25700000000000.0,23800000000.0
TOI-969 b,142,9844,14,35300000000.0,2450000000000.0,3480000000.0
TOI-969 c,329,9669,2,748000000000000.0,2.2e+16,4550000000000.0
TYC 8998-760-1 c,996,9002,2,3.65e+19,3.3e+20,7.33e+16
V1298 Tau b,141,9844,15,1430000000000.0,100000000000000.0,153000000000.0
V1298 Tau c,92,9891,17,224000000000.0,24000000000000.0,41300000000.0
V1298 Tau d,101,9879,20,423000000000.0,41300000000000.0,83700000000.0
V1298 Tau e,149,9830,21,3860000000000.0,255000000000000.0,544000000000.0
WASP-107 b,272,9719,9,295000000000.0,10500000000000.0,9750000000.0
WASP-132 b,534,9462,4,869000000000.0,15400000000000.0,6510000000.0
WASP-132 c,114,9867,19,13700000000.0,1190000000000.0,2290000000.0
WASP-132 d,759,9237,4,2000000000000000.0,2.43e+16,10500000000000.0
