  Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                       Ref_Estrella
  TOI-2458   TOI-2458 c      16.553000      0.129000   0.032156       0.032156     10.220000         10.220000       3.180000           Radial Velocity           <a refstr=SUBJAK_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.235S/abstract target=ref>&Scaron;ubjak et al. 2025</a>
   TOI-201    TOI-201 b      52.978600      0.303000   0.516002            NaN    164.000000               NaN      11.400000                   Transit                <a refstr=MIRELES_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026SciA...12f2618M/abstract target=ref>Mireles et al. 2026</a>
   TOI-201    TOI-201 d       5.848890      0.069800   0.018249            NaN      5.800000               NaN       1.390000                   Transit                <a refstr=MIRELES_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026SciA...12f2618M/abstract target=ref>Mireles et al. 2026</a>
   WASP-18    WASP-18 c       2.155800      0.035000   0.173678            NaN     55.200000               NaN       8.580000 Transit Timing Variations                             <a refstr=PEARSON_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..243P/abstract target=ref>Pearson 2019</a>
   HAT-P-2    HAT-P-2 b       5.633516      0.068140   9.020000       8.620000   2866.812231       2739.694600      10.659759                   Transit                     <a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>
    DMPP-2     DMPP-2 b       5.203000      0.066380   0.539536       0.539536    171.480000        171.480000      14.200000           Radial Velocity              <a refstr=STANDING_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260218207S/abstract target=ref>Standing et al. 2026</a>
    DMPP-2     DMPP-2 d      16.491000      0.143200   0.288804       0.288804     91.790000         91.790000      11.600000           Radial Velocity              <a refstr=STANDING_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260218207S/abstract target=ref>Standing et al. 2026</a>
    DMPP-2     DMPP-2 c       3.168000      0.047890   0.162950       0.162950     51.790000         51.790000       8.260000           Radial Velocity              <a refstr=STANDING_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260218207S/abstract target=ref>Standing et al. 2026</a>
  TOI-1408   TOI-1408 c       2.166400      0.035870   0.023912            NaN      7.600000               NaN       2.220000 Transit Timing Variations                    <a refstr=KORTH_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...971L..28K/abstract target=ref>Korth et al. 2024</a>
  TOI-1408   TOI-1408 b       4.425870      0.057780   1.865787            NaN    593.000000               NaN      25.000000                   Transit                    <a refstr=KORTH_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...971L..28K/abstract target=ref>Korth et al. 2024</a>
  HD 28109   HD 28109 c      55.997120      0.308000   0.028946            NaN      9.200000               NaN       4.130000                   Transit                  <a refstr=BARONE_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...704A..41B/abstract target=ref>Barone et al. 2025</a>
  HD 28109   HD 28109 d      84.289900      0.411000   0.018249            NaN      5.800000               NaN       3.110000                   Transit                  <a refstr=BARONE_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...704A..41B/abstract target=ref>Barone et al. 2025</a>
  HD 28109   HD 28109 b      22.891054      0.135700   0.019507            NaN      6.200000               NaN       2.690000                   Transit                  <a refstr=BARONE_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...704A..41B/abstract target=ref>Barone et al. 2025</a>
  TOI-5126   TOI-5126 c      17.899900      0.143900   0.044700            NaN     14.200000               NaN       3.860000                   Transit        <a refstr=FAIRNINGTON_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.8768F/abstract target=ref>Fairnington et al. 2024</a>
  TOI-5126   TOI-5126 b       5.458838      0.065190   0.063400            NaN     20.200000               NaN       4.740000                   Transit        <a refstr=FAIRNINGTON_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.8768F/abstract target=ref>Fairnington et al. 2024</a>
  TOI-1670   TOI-1670 b      10.984620      0.103000   0.130000            NaN     41.317693               NaN       2.060000                   Transit                      <a refstr=TRAN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..225T/abstract target=ref>Tran et al. 2022</a>
  TOI-1670   TOI-1670 c      40.749760      0.249000   0.630000            NaN    200.231896               NaN      11.063264                   Transit                      <a refstr=TRAN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..225T/abstract target=ref>Tran et al. 2022</a>
 WASP-94 B  WASP-94 B b       2.008390      0.033500   0.618000       0.618000    196.411000        196.411000      14.100000           Radial Velocity <a refstr=NEVEU_VANMALLE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...572A..49N/abstract target=ref>Neveu-VanMalle et al. 2014</a>
 WASP-94 A  WASP-94 A b       3.950190      0.055000   0.500000            NaN    158.915000               NaN      17.710220                   Transit               <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
    KELT-6     KELT-6 b       7.845700      0.079390   0.520000       0.442000    165.271600        140.480860      14.571700                   Transit               <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
    KELT-6     KELT-6 c    1276.000000      2.390000   3.710000       3.710000   1179.149300       1179.149300      13.000000           Radial Velocity               <a refstr=DAMASSO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...581L...6D/abstract target=ref>Damasso et al. 2015</a>
 Kepler-25  Kepler-25 d     122.400000      0.416422   0.226000       0.226000     71.900000         71.829580      10.000000           Radial Velocity                   <a refstr=MILLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..145M/abstract target=ref>Mills et al. 2019</a>
 Kepler-25  Kepler-25 c      12.720700      0.111700   0.047900       0.075718     15.200000         24.065461       5.217000                   Transit                   <a refstr=MILLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..145M/abstract target=ref>Mills et al. 2019</a>
 Kepler-25  Kepler-25 b       6.238297      0.069500   0.027500       0.033972      8.700000         10.797167       2.748000                   Transit                   <a refstr=MILLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..145M/abstract target=ref>Mills et al. 2019</a>
  TOI-6695   TOI-6695 b      80.389000      0.402000   0.210000            NaN     66.743965               NaN       9.527634                   Transit           <a refstr=EBERHARDT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..298E/abstract target=ref>Eberhardt et al. 2025</a>
